AsOfDateTime,SecurityId,MetricName,MetricValue
1/1/2025 13:15,WJB41XV,TradePrice,117.7
1/1/2025 10:14,WJB41XV,Spread,9.0
1/1/2025 13:48,WJB41XV,Spread,7.0
1/1/2025 11:59,WJB41XV,Yield,6.72
1/1/2025 10:45,WJB41XV,Yield,8.25
1/1/2025 9:50,WJB41XV,Yield,6.49
1/1/2025 13:17,WJB41XV,Mark,111.3
1/1/2025 10:42,WJB41XV,Mark,109.6
1/1/2025 11:04,WJB41XV,Mark,118.1
1/1/2025 10:05,WJB41XV,CurrentFace,19700000.0
1/1/2025 12:08,WJB41XV,CurrentFace,13300000.0
1/1/2025 14:47,WJB41XV,CurrentFace,7900000.0
1/1/2025 12:31,XVD17FP,TradePrice,104.5
1/1/2025 14:49,XVD17FP,TradePrice,92.5
1/1/2025 11:32,XVD17FP,TradePrice,110.0
1/1/2025 11:16,XVD17FP,Spread,3.0
1/1/2025 11:23,XVD17FP,Spread,2.0
1/1/2025 13:15,XVD17FP,Spread,1.0
1/1/2025 14:15,XVD17FP,Spread,8.0
1/1/2025 14:44,XVD17FP,Yield,8.0
1/1/2025 10:40,XVD17FP,Yield,5.86
1/1/2025 13:57,XVD17FP,Yield,0.85
1/1/2025 10:27,XVD17FP,Mark,100.3
1/1/2025 11:02,XVD17FP,CurrentFace,7600000.0
1/1/2025 10:30,XVD17FP,CurrentFace,9000000.0
1/1/2025 11:24,MBZ91OQ,TradePrice,88.7
1/1/2025 10:53,MBZ91OQ,TradePrice,116.3
1/1/2025 11:40,MBZ91OQ,TradePrice,119.4
1/1/2025 10:18,MBZ91OQ,TradePrice,101.0
1/1/2025 10:57,MBZ91OQ,Spread,12.0
1/1/2025 14:18,MBZ91OQ,Spread,3.0
1/1/2025 12:56,MBZ91OQ,Spread,9.0
1/1/2025 13:44,MBZ91OQ,Yield,1.16
1/1/2025 14:20,MBZ91OQ,Mark,99.5
1/1/2025 13:28,MBZ91OQ,CurrentFace,10300000.0
1/1/2025 13:23,MBZ91OQ,CurrentFace,7100000.0
1/1/2025 12:18,MBZ91OQ,CurrentFace,1200000.0
1/1/2025 14:36,MBZ91OQ,CurrentFace,14100000.0
1/1/2025 11:22,WXT79MB,TradePrice,94.5
1/1/2025 9:57,WXT79MB,TradePrice,92.5
1/1/2025 11:30,WXT79MB,TradePrice,102.2
1/1/2025 9:53,WXT79MB,Spread,10.0
1/1/2025 12:08,WXT79MB,Spread,3.0
1/1/2025 13:03,WXT79MB,Yield,0.9
1/1/2025 13:39,WXT79MB,Mark,117.4
1/1/2025 10:08,WXT79MB,Mark,95.4
1/1/2025 13:07,WXT79MB,Mark,116.0
1/1/2025 14:24,WXT79MB,CurrentFace,6900000.0
1/1/2025 12:11,WXT79MB,CurrentFace,14000000.0
1/1/2025 11:27,WXT79MB,CurrentFace,5900000.0
1/1/2025 10:22,YQW62ZF,TradePrice,94.0
1/1/2025 11:38,YQW62ZF,TradePrice,113.2
1/1/2025 12:18,YQW62ZF,Spread,4.0
1/1/2025 11:45,YQW62ZF,Spread,6.0
1/1/2025 10:20,YQW62ZF,Yield,6.74
1/1/2025 10:02,YQW62ZF,Yield,4.11
1/1/2025 13:21,YQW62ZF,Mark,76.4
1/1/2025 14:22,YQW62ZF,Mark,83.3
1/1/2025 14:03,YQW62ZF,Mark,99.2
1/1/2025 13:05,YQW62ZF,Mark,109.5
1/1/2025 14:50,YQW62ZF,CurrentFace,9000000.0
1/1/2025 13:29,YQW62ZF,CurrentFace,8600000.0
1/1/2025 13:19,YQW62ZF,CurrentFace,11400000.0
1/1/2025 10:39,YQW62ZF,CurrentFace,6900000.0
1/1/2025 10:43,LGP30YU,TradePrice,91.5
1/1/2025 14:18,LGP30YU,TradePrice,96.0
1/1/2025 12:39,LGP30YU,TradePrice,108.2
1/1/2025 12:43,LGP30YU,TradePrice,94.6
1/1/2025 11:48,LGP30YU,Spread,10.0
1/1/2025 11:21,LGP30YU,Spread,8.0
1/1/2025 10:40,LGP30YU,Yield,3.9
1/1/2025 12:26,LGP30YU,Yield,4.33
1/1/2025 12:52,LGP30YU,Yield,2.93
1/1/2025 11:14,LGP30YU,Yield,1.62
1/1/2025 12:21,LGP30YU,Mark,93.2
1/1/2025 10:09,LGP30YU,Mark,87.0
1/1/2025 14:24,LGP30YU,CurrentFace,19800000.0
1/1/2025 12:24,LGP30YU,CurrentFace,3400000.0
1/1/2025 13:42,CFN12WD,TradePrice,120.9
1/1/2025 10:54,CFN12WD,Spread,4.0
1/1/2025 12:30,CFN12WD,Spread,8.0
1/1/2025 14:26,CFN12WD,Spread,4.0
1/1/2025 14:18,CFN12WD,Spread,12.0
1/1/2025 10:07,CFN12WD,Yield,8.0
1/1/2025 11:47,CFN12WD,Mark,80.6
1/1/2025 14:21,CFN12WD,CurrentFace,8100000.0
1/1/2025 12:42,JQL24TF,TradePrice,97.6
1/1/2025 12:56,JQL24TF,TradePrice,89.1
1/1/2025 11:27,JQL24TF,Spread,12.0
1/1/2025 14:32,JQL24TF,Spread,3.0
1/1/2025 13:03,JQL24TF,Spread,9.0
1/1/2025 11:52,JQL24TF,Spread,12.0
1/1/2025 12:16,JQL24TF,Yield,3.91
1/1/2025 11:57,JQL24TF,Yield,4.63
1/1/2025 12:43,JQL24TF,Yield,0.75
1/1/2025 11:05,JQL24TF,Mark,80.2
1/1/2025 9:56,JQL24TF,Mark,100.8
1/1/2025 14:58,JQL24TF,Mark,75.6
1/1/2025 14:48,JQL24TF,Mark,90.1
1/1/2025 14:54,JQL24TF,CurrentFace,16500000.0
1/1/2025 10:52,JUI05RA,TradePrice,117.5
1/1/2025 12:52,JUI05RA,Spread,8.0
1/1/2025 13:32,JUI05RA,Yield,3.93
1/1/2025 10:22,JUI05RA,Mark,75.6
1/1/2025 13:51,JUI05RA,Mark,98.7
1/1/2025 9:49,JUI05RA,CurrentFace,3400000.0
1/1/2025 11:44,JUI05RA,CurrentFace,14700000.0
1/1/2025 11:41,JUI05RA,CurrentFace,15400000.0
1/1/2025 12:48,JUI05RA,CurrentFace,3200000.0
1/1/2025 13:45,MPZ70CG,TradePrice,107.1
1/1/2025 11:17,MPZ70CG,TradePrice,120.9
1/1/2025 9:31,MPZ70CG,TradePrice,107.9
1/1/2025 14:46,MPZ70CG,Spread,9.0
1/1/2025 14:50,MPZ70CG,Yield,6.66
1/1/2025 14:52,MPZ70CG,Yield,5.33
1/1/2025 10:51,MPZ70CG,Mark,110.6
1/1/2025 10:49,MPZ70CG,Mark,105.0
1/1/2025 12:57,MPZ70CG,Mark,75.2
1/1/2025 11:22,MPZ70CG,CurrentFace,12000000.0
1/1/2025 13:24,MPZ70CG,CurrentFace,16300000.0
1/1/2025 12:13,MPZ70CG,CurrentFace,8500000.0
1/1/2025 9:52,SMS96VL,TradePrice,99.4
1/1/2025 11:20,SMS96VL,TradePrice,103.8
1/1/2025 11:39,SMS96VL,TradePrice,118.0
1/1/2025 11:25,SMS96VL,Spread,2.0
1/1/2025 13:03,SMS96VL,Yield,5.58
1/1/2025 10:40,SMS96VL,Yield,7.54
1/1/2025 13:29,SMS96VL,Yield,6.97
1/1/2025 12:37,SMS96VL,Yield,3.8
1/1/2025 14:02,SMS96VL,Mark,82.3
1/1/2025 10:00,SMS96VL,Mark,112.4
1/1/2025 13:06,SMS96VL,Mark,81.2
1/1/2025 13:26,SMS96VL,CurrentFace,8200000.0
1/1/2025 9:37,SMS96VL,CurrentFace,10800000.0
1/1/2025 12:08,SMS96VL,CurrentFace,10300000.0
1/1/2025 11:37,QVT19PV,TradePrice,108.7
1/1/2025 14:56,QVT19PV,Spread,3.0
1/1/2025 12:07,QVT19PV,Spread,3.0
1/1/2025 13:19,QVT19PV,Spread,10.0
