AsOfDate,SecurityId,Description,Sector,Subsector,Currency
2025-01-01,WJB41XV,Agency Subs Bond WJB41XV,Agency,Subs,USD
2025-01-01,XVD17FP,Agency Subs Bond XVD17FP,Agency,Subs,USD
2025-01-01,MBZ91OQ,Retail SASB Property MBZ91OQ,Commercial,SASB,USD
2025-01-01,WXT79MB,Retail SASB Property WXT79MB,Commercial,SASB,USD
2025-01-01,YQW62ZF,Mortgage Risk Bond YQW62ZF,Residential,Risk,USD
2025-01-01,LGP30YU,Home Risk Bond LGP30YU,Residential,Risk,USD
2025-01-01,CFN12WD,Government Subs Security CFN12WD,Agency,Subs,USD
2025-01-01,JQL24TF,Office CMBS Property JQL24TF,Commercial,CMBS,USD
2025-01-01,JUI05RA,Mortgage Carry Trust JUI05RA,Residential,Carry,USD
2025-01-01,MPZ70CG,Mortgage Risk Bond MPZ70CG,Residential,Risk,USD
2025-01-01,SMS96VL,Residential Risk Trust SMS96VL,Residential,Risk,USD
2025-01-01,QVT19PV,Agency IO Backed QVT19PV,Agency,IO,USD
2025-01-01,GNM22AD,Residential Carry Trust GNM22AD,Residential,Carry,USD
2025-01-01,HFZ87VS,Mortgage Carry Bond HFZ87VS,Residential,Carry,USD
2025-01-01,KMO73NI,Residential Risk Security KMO73NI,Residential,Risk,USD
2025-01-01,FRH21QB,Residential Financing Bond FRH21QB,Residential,Financing,USD
2025-01-01,YLI49FV,Mortgage Risk Security YLI49FV,Residential,Carry,USD
2025-01-01,UGH42CD,Retail CMBS Property UGH42CD,Commercial,CMBS,USD
2025-01-01,KYS40GT,Commercial CMBS Trust KYS40GT,Commercial,CMBS,USD
2025-01-01,LAF46ZQ,Commercial CMBS Trust LAF46ZQ,Commercial,CMBS,USD
2025-01-01,YAL88TQ,Federal Subs Security YAL88TQ,Agency,Subs,USD
2025-01-01,LBR15JO,Office CMBS Trust LBR15JO,Commercial,CMBS,USD
2025-01-01,TZE82IG,Retail CMBS Property TZE82IG,Commercial,CMBS,USD
2025-01-01,JCM10AV,Mortgage Carry Security JCM10AV,Residential,Carry,USD
2025-01-01,ZJK76DR,Government IO Bond ZJK76DR,Agency,IO,USD
2025-01-01,JPN92AH,Office CMBS Property JPN92AH,Commercial,CMBS,USD
2025-01-01,LFL59PW,Federal Subs Bond LFL59PW,Agency,Subs,USD
2025-01-01,RND86XU,Commercial SASB Property RND86XU,Commercial,CMBS,USD
2025-01-01,UXP54RA,Residential Financing Trust UXP54RA,Residential,Financing,USD
2025-01-01,HZI97XK,Home Carry Trust HZI97XK,Residential,Carry,USD
2025-01-01,PXL69KL,Office CMBS Investment PXL69KL,Commercial,CMBS,USD
2025-01-01,RRZ21YR,Home Financing Security RRZ21YR,Residential,Financing,USD
2025-01-01,JMW11DH,Mortgage Financing Trust JMW11DH,Residential,Financing,USD
2025-01-01,WTS85NW,Government IO Backed WTS85NW,Agency,IO,USD
2025-01-01,GMD24AY,Residential Financing Security GMD24AY,Residential,Financing,USD
2025-01-01,HGH26BI,Office CRE Investment HGH26BI,Commercial,CRE,USD
2025-01-01,PCS17XN,Commercial CRE Trust PCS17XN,Commercial,CRE,USD
2025-01-01,LAS87XO,Home Risk Trust LAS87XO,Residential,Risk,USD
2025-01-01,SHY49RS,Residential Risk Bond SHY49RS,Residential,Risk,USD
2025-01-01,AHZ12NA,Mortgage Financing Trust AHZ12NA,Residential,Financing,USD
2025-01-01,EYF35OX,Agency Subs Backed EYF35OX,Agency,Subs,USD
2025-01-01,JLK41QT,Home Risk Bond JLK41QT,Residential,Risk,USD
2025-01-01,ZIU48UU,Federal Subs Security ZIU48UU,Agency,Subs,USD
